38,Ain_1,"Musika eta poesia irakurtaldi bat eskaintzeko asmoz sortu zen Ain_1 Arrasaten (Gipuzkoa), baina musika tresna eta partaide berriak sartuz ahala hazten joan da dantza, ikus-entzunezko baliabide eta agertoki bakoitzaren araberako elementuekin osatutako egitasmoa. Maialen Madariaga, Ainara Kortabarria, Itxaso Nabaridas, Iraitz Agirre eta Amaia Pavon dira taldekideak. Doinu malenkoniatsuek, berbaren garrantziak eta dantzaren adierazkortasunak emankizun ezberdin bat osatzen dute, leku goxo eta txikietan antzezteko egokia.",2007,,"['Folka', 'Popa']",https://www.badok.eus/euskal-musika/ain_1,Q31188015
39,Ainara Legardon,,,Bilbo,"['Rocka', 'Esperimentala']",https://www.badok.eus/euskal-musika/ainara-legardon,Q12252922
40,Ainara Ortega,,1981,Hernani (Gipuzkoa),['Jazza'],https://www.badok.eus/euskal-musika/ainara-ortega,Q61433627
42,Ainhoa Larrañaga,,2000,Hernani (Gipuzkoa),['Popa'],https://www.badok.eus/euskal-musika/ainhoa-larranaga,Q60607868
44,Aire Ahizpak,,,,"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/aire-ahizpak,Q20492318
46,Aitor,"«Zergatik ez dituzu abestiak grabatzen?», galdetu zioten behin Aitor Huergori. Inoiz ez du bere burua musikaritzat hartu, baina estreineko lanak balio izan dio barruko paisaiak azaleratzeko. «Barruko paisaiak abesti bilduma xume eta soila dugu, sinpletasunak dakarren zailtasunez hornituta: ahotsa eta gitarra soilik, elkar nahasirik, fluxuan», kontatu du.",,,['Kantautorea'],https://www.badok.eus/euskal-musika/aitor,Q111033486
47,Aitor Badiola,,1949,Donostia,['Popa'],https://www.badok.eus/euskal-musika/aitor-badiola,Q110381475
48,Aitor Etxebarria,,1985,Gernika (Bizkaia),"['Elektronikoa', 'Esperimentala', 'Soinu-banda']",https://www.badok.eus/euskal-musika/aitor-etxebarria,Q23907911
51,Aiumeen Basoa,,1994,,['Metala'],https://www.badok.eus/euskal-musika/aiumeen-basoa,Q12252986
53,Aizkorak Zorroztu,"Aizkorak Zorroztu taldeko hiru kideak beren musikan eragina izan duten bi korronteen berezko erritmo, soinu eta egiturekin inprobisatzen hasi ziren 2014ko udaberrian. Hain zuzen, minimalismoa eta afterpunkaren esperimentazioa eta grungeren izaera korrosiboa eta estutasuna izan dira taldearen eraginak.",2014,Bilbo,['Rocka'],https://www.badok.eus/euskal-musika/aizkorak-zorroztu,Q31188077
54,Akabu,,2016,Galdakao (Bizkaia),['Punk-rocka'],https://www.badok.eus/euskal-musika/akabu,Q61362042
56,Akatu,,2004 - 2012,Iruñea,['Metala'],https://www.badok.eus/euskal-musika/akatu,Q106917714
57,Akauzazte,"Azkoitiko Mataideixe gune autogestionatuan sortutako taldea da Akauzazte. Hainbat kide igaro dira taldetik (Oier Etxeberria, Baxi Ubeda
), baina Iker Arrazolak, Joxe Larrañagak eta Roge Astigarragak osatzen dute bizkarrezurra. Akauzazteren musikak primitibismoarekin, soinu industrialarekin eta inprobisazioarekin ditu loturak. Xabier Erkizia musikariaren hitzetan, “musika herrikoiaren itzaletan dantzan, rock musikarekin larrutan eta abangoardiari beldurrik gabe parez pare begiratuz” jarduten du Akauzaztek.",1992,Azkoitia (Gipuzkoa),"['Rocka', 'Esperimentala']",https://www.badok.eus/euskal-musika/akauzazte,Q8192550
58,Akelarre,,1972 - 2005,Soraluze (Gipuzkoa),"['Plaza', 'Rocka']",https://www.badok.eus/euskal-musika/akelarre,Q12253017
60,Akoka,,,Miarritze (Lapurdi),['Pop-rocka'],https://www.badok.eus/euskal-musika/akoka,Q29025244
61,aKts,"Euskal Herriko soinu paisaia grabaketen, soinu elektronikoen eta zuzenean jotako instrumentuen nahasketa da aKts proiektua.",,,['Elektronikoa'],https://www.badok.eus/euskal-musika/akts,Q118122150
62,Alaitz eta Maider,,1989 - 2004,Oiartzun (Gipuzkoa),['Triki-popa'],https://www.badok.eus/euskal-musika/alaitz-eta-maider,Q1690900
64,ALBA,,2017,Hazparne (Lapurdi),['Post-rocka'],https://www.badok.eus/euskal-musika/alba,Q80304322
66,Alboka,,1994,Hernani (Gipuzkoa),['Folka'],https://www.badok.eus/euskal-musika/alboka,Q12253094
69,Alos Quartet,,1999,Tolosa (Gipuzkoa),"['Folka', 'Klasikoa']",https://www.badok.eus/euskal-musika/alos-quartet,Q97346027
70,Alter Ego,,2014 - 2021,Urretxu-Zumarraga (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/alter-ego,Q437833
71,Altxatu,"Ibai Osinagak, Julen Abaurreak eta Iker Arizek osatzen dute Altxatu. Oso talde gaztea da, 12-13 urte baitzituzten taldekideek elkarrekin jotzen hasi zirenean, 2011. urtean. 80ko hamarkadako punk-rock taldeak (Hertzainak, Kortatu, The Clash
) eta AEBeko hardcore melodikokoak (Rancid, Green Day
) dituzte erreferentzia Irunberriko hiru taldekideek. Hiru disko grabatu dituzte, eta une honetan taldea deseginda dago.",2011,Irunberri (Nafarroa),['Punk-rocka'],https://www.badok.eus/euskal-musika/altxatu,Q31188019
72,Altzükütarrak,,1979,Altzürükü (Zuberoa),"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/altzukutarrak,Q106917805
73,Ama Say,,1991,,['Rocka'],https://www.badok.eus/euskal-musika/ama-say,Q12253272
74,Amaia Miranda,(Argazkia: Helena Goñi),1993,,['Folka'],https://www.badok.eus/euskal-musika/amaia-miranda,Q48215633
75,Amaia Riouspeyrous,,1984,Donapaleu (Nafarroa Beherea),['Pop-rocka'],https://www.badok.eus/euskal-musika/amaia-riouspeyrous,Q12253292
76,Amaia Zubiria,,1947,Zubieta (Gipuzkoa),"['Folka', 'Herri', 'kanta']",https://www.badok.eus/euskal-musika/amaia-zubiria,Q2840909
77,Amak,,2019,Gipuzkoa,"['Folka', 'Trikitia']",https://www.badok.eus/euskal-musika/amak,Q106840437
78,Amaren Alabak,,1999,,"['Folka', 'Herri', 'kanta']",https://www.badok.eus/euskal-musika/amaren-alabak,Q12253312
79,Ameba,,2019,Usurbil (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/ameba,Q12615861
80,Ameslariak,"Ameslariak taldea Bergaran sortu zen, Gipuzkoan, 1967. urtean. Jose Luis Mendia, Ramon Arbizu, Justo Idigoras, Javier Arbizu eta Iñaki Arriaran ziren taldeko abeslariak. Garaiko nazioarteko kantu arrakastatsuen euskarazko bertsioak egiten zituzten, Los Brincos eta Les Surfs taldeenak, esate baterako. Herrietako jaietan, dantzalekuetan eta antzeztokietan aritu ziren emanaldiak egiten.",1967 - 1969,Bergara (Gipuzkoa),['Popa'],https://www.badok.eus/euskal-musika/ameslariak,Q12253344
81,Amets,,1969 - 1981,Gasteiz,['Popa'],https://www.badok.eus/euskal-musika/amets,Q362037
82,Amodio,"Javi Manterolak (Lisabö) eta Aurelien Rotureau frantziarrak osatu zuten Amodio. Bruselan elkar ezagutu zuten eta blues eta folk doinuen ikuspegi garaikidea lantzeko proiektua sortu zuten, soinu elektroakustikoaz jantziz herri musikaren sustraiak. Komunikazioaren aldeko melodia sakon eta hauskorrak bildu zituzten disko bakarrean.",2003,Irun (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/amodio,Q56748137
