97,"Angel Azkarraga ""Matxitxa""","Angel Azkarraga aitzindaria izan izen Euskal Herrian manager lanean. Bere ibilbide profesionala Itoiz taldeari estu lotuta egon bazen ere, Errobi, Ruper Ordorika, Hertzainak, Negu Gorriak, Su Ta Gar eta beste hainbat talde ordezkatu zituen Azkarragak berak sortutako Matxitxa kontratazio agentziaren bidez.",1956,Mutriku (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/angel-azkarraga-matxitxa
107,Anonyme Popular,,2022,,"['Elektronikoa', 'Bertsoa']",https://www.badok.eus/euskal-musika/anonyme-popular
108,Ansorena & Senperena,"Joserra Senperena eta Piter Ansorena aspalditik aritu dira elkarrekin lan musikaletan. Euskal Telebistako ‘Funtzioa’ programan hasi ziren eta harrezkero bestelako egokiera desberdin ugarietan: telebista programak, pailazo hirukotearen diskoetan, zuzeneko saioetan 
 Hala ere, ez zuten inoiz Piter Ansorenaren lanbide eta zaletasun handiena den txistu-danbolinaren alorrean ezer egin.",,,['Folka'],https://www.badok.eus/euskal-musika/ansorena-senperena
109,Anticontinente,,2015,Iruñea,['Popa'],https://www.badok.eus/euskal-musika/anticontinente
110,Antihumano,,2014,Oñati (Gipuzkoa),"['Hardcorea', 'Punka']",https://www.badok.eus/euskal-musika/antihumano
116,Apalatxe,"Aritz Irastortza da Apalatxe. 2014an hasi zen kontzertuak ematen, bakarka zein taldeaz lagunduta. Bi disko grabatu ditu, euskaraz eta gaztelaniaz abesturiko kantuez osatuak.",1986,Astigarraga (Gipuzkoa),['Kantautorea'],https://www.badok.eus/euskal-musika/apalatxe
120,Arekan,,,Iruñerria,['Ska-rocka'],https://www.badok.eus/euskal-musika/arekan
121,Arene 6,,,Getxo (Bizkaia),['Punk-Oi!'],https://www.badok.eus/euskal-musika/arene-6
123,Argazki bat behelainoan,"Arkaitz Artola Arnaiz donostiarraren proiektua da Argazki Bat Behelainoan musika taldea. Aspaldi sorturiko sehaska kantuetan oinarrituta, ‘Lo’ izeneko lan berria aurkeztu du. Iraupen laburrekoa da, zortzi abesti ditu, eta egilearen hitzetan, “bilduma minimalista eta sedatzailea” da.",,Donostia,['[]'],https://www.badok.eus/euskal-musika/argazki-bat-behelainoan
128,Aritzak,,,,"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/aritzak
130,Arkaiko,,2014,Donostia,['Punk-rocka'],https://www.badok.eus/euskal-musika/arkaiko
135,Arrutiko Intxaurrak,,,Zarautz (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/arrutiko-intxaurrak
136,Arthur's Toys,,,Tolosa (Gipuzkoa),['Popa'],https://www.badok.eus/euskal-musika/arthurs-toys
137,Artze anaiak,,,Usurbil (Gipuzkoa),"['Folka', 'Herri', 'kanta', 'Esperimentala']",https://www.badok.eus/euskal-musika/artze-anaiak
139,Asier LI,Asier Lopez Iraola abeslari eta pianistaren izen artistikoa da Asier LI.,1979,Beasain (Gipuzkoa),['Esperimentala'],https://www.badok.eus/euskal-musika/asier-l-i
141,Askapen Sound Sistema,,1982,Gasteiz,['Rapa'],https://www.badok.eus/euskal-musika/askapen-sound-sistema
142,Askoren artean,"Orrialde honetan, kantu argitaragabeen bildumak, inoren omenez osatutako diskoak, hainbat egileren artean ondutako lanak eta beste aurkituko dituzu.",,,['[]'],https://www.badok.eus/euskal-musika/askoren-artean
146,Atanas Akerstra,,1971,Azkoitia (Gipuzkoa),"['Bluesa', 'Esperimentala']",https://www.badok.eus/euskal-musika/atanas-akerstra
152,Aukera Okerra,,2016,,['Punk-Oi!'],https://www.badok.eus/euskal-musika/aukera-okerra
153,Auritz,,,Bilbo,['Metala'],https://www.badok.eus/euskal-musika/auritz
154,Aurrez Aurre,,,Beasain (Gipuzkoa),['Punk-Oi!'],https://www.badok.eus/euskal-musika/aurrez-aurre
156,"Axeri, Fane, Eli, FEZE",,,,['[]'],https://www.badok.eus/euskal-musika/axeri-fane-eli-feze
157,Axular DJ,,1982,Mutriku (Gipuzkoa),['Elektronikoa'],https://www.badok.eus/euskal-musika/axular-dj
158,AyVee,Andrea Vitoria tolosarraren musika proiektua da AyVee.,2019,,['Reggaetona'],https://www.badok.eus/euskal-musika/ayvee
162,Azken Sustraiak,,2017,Beasain (Gipuzkoa),"['Punk-rocka', 'Punk-Oi!']",https://www.badok.eus/euskal-musika/azken-sustraiak
164,Babilbon,Babilonia Bilbon ere badagoelako sortzen dute Babilbon kolektiboa Bilboko eskarmentu handiko zenbait musikarik.,2022,,['Reggaea'],https://www.badok.eus/euskal-musika/babilbon
166,Baizera!,,,Nafarroa,['Funka'],https://www.badok.eus/euskal-musika/baizera
167,Bake Faltsua,,2017,Ordizia (Gipuzkoa),['Punk-rocka'],https://www.badok.eus/euskal-musika/bake-faltsua
171,Baloreak,,2018,,['[]'],https://www.badok.eus/euskal-musika/baloreak
172,BAMMS,,,Hernani (Gipuzkoa),"['Punk-rocka', 'Rock&rolla']",https://www.badok.eus/euskal-musika/bamms
176,Bap!!,,1983 - 1996,Andoain (Gipuzkoa),['Hardcorea'],https://www.badok.eus/euskal-musika/bap
177,Barne Guda,,,Bergara (Gipuzkoa),['Punk-Oi!'],https://www.badok.eus/euskal-musika/barne-guda
178,Barrakos,,,,['[]'],https://www.badok.eus/euskal-musika/barrakos
179,Bas(h)oan,,2017,"Bera, Baiona","['Folka', 'Herri', 'kanta', 'Rocka']",https://www.badok.eus/euskal-musika/bashoan
182,Bat Gehio,,,Bartzelona,"['Folka', 'Popa', 'Flamenkoa']",https://www.badok.eus/euskal-musika/bat-gehio
183,Bazka,,2021,,"['Punk-rocka', 'Rocka']",https://www.badok.eus/euskal-musika/bazka
187,Beietz!,"Biolin, txirula eta eskusoinuak sortutako melodia zelta itsaskor eta biziek osatzen dute Beietz!-en bizkar hezurra. Horri rock, punk, pop, ska edo folka gehituz dator Beietz!-en zeltik-parranda. Hitzetan, poesia iradokitzaileak, leun bezain zorrotzak, gure munduari begiratzen diotenak, eta sarritan bi aldiz irakurri beharrekoak. Skalariak eta Ortzi taldeetan aritutakoak dira Beietz!-eko kideak.",2018,Arbizu (Nafarroa),['Folk-rocka'],https://www.badok.eus/euskal-musika/beietz
