PUG,26
Beste behin,26
Bat,27
Bi,27
Hiru,27
Lau,27
Zortzi,27
Sei,27
Bederatzi,27
Zazpi,27
Urraca,28
Erre bideak,28
Blai,28
Indian rendez-vous,28
Teilatuetatik saltoka helduko naiz zurera,28
Intro,29
Ilargia Virgo-n,29
Txorien udazken dantza,29
Elurra,29
Hirizerdia,29
Outro,29
"Bakarrik esaten, ez dakit sinisten",30
Hegoekira begira (Egoera mentala Azkoitti remixe),30
Zikintasuna hurbiltzen,30
Gustoa zaude,30
Badakit,30
Gezurra zarete,30
Burua bueltaka,30
Eraikuntza berriak posible izateko,30
Urdine,31
Lur eri honetan,32
Joan-etorrian,32
Zirrara hura,32
Hitzen bila,32
Mundu basatia da hau,32
Lur azpiko ahotsak,32
Iltzeen antzera,32
Ilun eta eder,33
Urrun,33
Munduaren laiotz honetan,33
Oroimenaren ahanzturan,33
Laino eta belatz artean,33
Beste behin,33
Ekaitz gau honetatik ihesi,33
Akordatzen (akustikoa),34
Ihes (akustikoa),34
Zaunka datoz arin,35
Akordatzen,35
Ezezagunera,35
Ihes,35
Enbatan arraun,35
Mundua sutan,35
ZHDD,35
Introa,36
Many manifas,36
Estatuari gerra,36
Epoa hartu ta segi aurrera,36
Gora gu ta orangutarrak,36
Gogoak follatzeko gogoak,36
Sexy amajole,36
Bostak bat,36
PNV faxista,36
Kolesterola,36
Straight ez,36
Teo eta gorputz atalak,36
Merienda cena,36
Imenasako txakurra,36
Traveloak,36
Mikelen heriotza,36
Apaizado,36
Krisia,36
Alaiki,37
Matte,37
_Eztakit zer den_,38
Badakigu,38
Bihotzez,38
Beti adi,38
Hasi,39
Hitzak ehizatzen,39
Mari,39
Mugi,39
Gure,39
Baskoniako erresuma,39
Kultura,39
Non dago?,39
Hil,39
Ortzi,39
Zurekin,40
Mugi hadi!,40
Ametsa,40
Geldi-geldi,40
Berpiztu,41
Ehizan,41
Zer gehio?,41
Automatak,41
Gordinak,41
Bihotza urratu arte,41
Altxa eta eroriz,41
Nigaz ez,41
Biztu nau,41
Suge,42
Argi ala ilun,43
Bete betean,43
Ez da galdu ezer,43
Radio Izar,43
Rock City,43
Electroshock,43
Ito arte,43
Karta jokoak,43
Japoniar anonimoa,44
Irentsi zituen baleak gure galderak,44
Bidean,44
Baga-itsasoa,44
Gaixo baten (azkenengo) hitzak,44
Neguan izan zen,44
Diane,44
Egunsentia...,44
...Iluntzea,44
