49,Operation exodus,https://www.badok.eus/euskal-musika/adrenalized/operation-exodus,"Hardcorea, Metala",True,2019,25
50,Lasai ederrean,https://www.badok.eus/euskal-musika/adrian-perez/lasai-ederrean,"Kantautorea, Runba",False,2022,26
51,Musika (SG-DG),https://www.badok.eus/euskal-musika/afrika/musika-sg-dg,Funka,True,2023,27
52,Ispiluaren aurrean,https://www.badok.eus/euskal-musika/afrika/ispiluaren-aurrean,Soula,False,2021,27
53,Nomada,https://www.badok.eus/euskal-musika/afrika/nomada-1,"Soula, Funka",False,2019,27
54,Irungo AEK-ko beteranoak (Askoren artean),https://www.badok.eus/euskal-musika/afrika/irungo-aek-ko-beteranoak-askoren-artean-9,Soula,True,2004,27
55,Entzun,https://www.badok.eus/euskal-musika/afrika/entzun,"Popa, Soula",False,2004,27
56,Larruazalean,https://www.badok.eus/euskal-musika/afu/larruazalean,,False,2020,28
57,Zoroak hegaz goaz,https://www.badok.eus/euskal-musika/afu/zoroak-hegaz-goaz,Reggaea,False,2015,28
58,Egitan al zen? / Gauza bera,https://www.badok.eus/euskal-musika/agara/egitan-al-zen-gauza-bera,Rocka,False,2021,29
59,Denbora,https://www.badok.eus/euskal-musika/agian/denbora-3,"Metala, Rocka",False,2018,30
60,I Agirreak,https://www.badok.eus/euskal-musika/agirreak/i-agirreak,,True,2020,31
61,Agur,https://www.badok.eus/euskal-musika/agur/agur-agur,Rocka,False,2022,32
62,Bizirik dauden eskuak,https://www.badok.eus/euskal-musika/elustondo/bizirik-dauden-eskuak,"Folka, Trikitia",False,2019,33
63,Elustondo,https://www.badok.eus/euskal-musika/elustondo/elustondo,"Folka, Trikitia",False,2015,33
64,Hutsaren hatsa,https://www.badok.eus/euskal-musika/aguxtin-alkhat/hutsaren-hatsa,"Pop-rocka, Rocka",False,2020,34
65,Haizeen meneko,https://www.badok.eus/euskal-musika/aguxtin-alkhat/haizeen-meneko,Pop-rocka,False,2015,34
66,Elkar Estudioa Sesioak,https://www.badok.eus/euskal-musika/aguxtin-alkhat/elkar-estudioa-sesioak-4,Pop-rocka,False,2014,34
67,Ihes egin,https://www.badok.eus/euskal-musika/aguxtin-alkhat/ihes-egin,"Pop-rocka, Folk-popa",False,2013,34
68,Maketa,https://www.badok.eus/euskal-musika/ahaztu-antzean/maketa-3,Punka,False,1987,35
69,Kisulabe,https://www.badok.eus/euskal-musika/aho-zakil-konekxion/kisulabe,Punka,False,2022,36
70,Itzalen babesean,https://www.badok.eus/euskal-musika/ahuntzape/itzalen-babesean,Ska-rocka,False,2018,37
71,"Badoa, badirau",https://www.badok.eus/euskal-musika/ain_1/badoa-badirau,"Folka, Popa",False,2014,38
72,Musika kaxa,https://www.badok.eus/euskal-musika/ain_1/musika-kaxa,"Folka, Popa",False,2011,38
73,Gure abestia iristen den leku guztietaraino,https://www.badok.eus/euskal-musika/ain_1/gure-abestia-iristen-de-leku-guztietaraino,"Folka, Popa",False,2009,38
74,Res-cue. The archive in the mouth,https://www.badok.eus/euskal-musika/ainara-legardon/res-cue-the-archive-in-the-mouth,"Rocka, Esperimentala",True,2020,39
75,Eskuminak,https://www.badok.eus/euskal-musika/ainhoa-larranaga/eskuminak,Popa,False,2020,42
76,Kosinatik kanberala,https://www.badok.eus/euskal-musika/aintzina/kosinatik-kanberala,Folka,False,2011,43
77,Suitian,https://www.badok.eus/euskal-musika/aintzina/suitian,Folka,False,2009,43
78,Bidexka,https://www.badok.eus/euskal-musika/aire-ahizpak/bidexka,Herri kanta,False,2014,44
79,Bakardadeak garaitu zituenak,https://www.badok.eus/euskal-musika/aitona-zittalak-band/bakardadeak-garaitu-zituenak,"Folk-rocka, Rocka",False,2021,45
80,Barruko paisaiak,https://www.badok.eus/euskal-musika/aitor/barruko-paisaiak,Kantautorea,False,2022,46
81,Noiz,https://www.badok.eus/euskal-musika/aitor-badiola/noiz,Kantautorea,False,2007,47
82,Naizena izan arte,https://www.badok.eus/euskal-musika/aitor-badiola/naizena-izan-arte,Kantautorea,False,2000,47
83,Ongi egin duk mutil / Itsasoan preso,https://www.badok.eus/euskal-musika/aitor-badiola/ongi-egin-duk-mutil-itsasoan-preso,Popa,False,1977,47
84,Aitor Badiola,https://www.badok.eus/euskal-musika/aitor-badiola/aitor-badiola,,False,1972,47
85,Hondar ahoak,https://www.badok.eus/euskal-musika/aitor-etxebarria/hondar-ahoak,Soinu-banda,False,2022,48
86,Zu zara bihotz (SG-DG),https://www.badok.eus/euskal-musika/aitor-etxebarria/zu-zara-bihotz,Rocka,True,2020,48
87,Nihilism part I,https://www.badok.eus/euskal-musika/aitor-etxebarria/nihilism-part-i,Esperimentala,False,2019,48
88,Markak,https://www.badok.eus/euskal-musika/aitor-etxebarria/markak,"Elektronikoa, Esperimentala",False,2017,48
89,Hygge,https://www.badok.eus/euskal-musika/aitor-regueiro/hygge,"Kantautorea, Popa",False,2022,49
90,Argi izpiak,https://www.badok.eus/euskal-musika/aitor-rubio/argi-izpiak,Kantautorea,False,2022,50
91,Iraganeko bide malkartsutik,https://www.badok.eus/euskal-musika/aiumeen-basoa/iraganeko-bide-malkartsutik,Metala,False,2010,51
92,Triarchy of Vasconia–Iluntasunaren Itzulera,https://www.badok.eus/euskal-musika/aiumeen-basoa/triarchy-of-vasconia-iluntasunaren-itzulera,Metala,False,1999,51
93,Aixita Pop Foundation,https://www.badok.eus/euskal-musika/aixita-pop-foundation/aixita-pop-foundation,Rocka,False,2018,52
94,Ezpatadantza,https://www.badok.eus/euskal-musika/aizkorak-zorroztu/ezpatadantza,,False,2019,53
95,Arkitekto mental baten paranoia kronikoa,https://www.badok.eus/euskal-musika/aizkorak-zorroztu/arkitekto-mental-baten-paranoia-kronikoa,Rocka,False,2017,53
96,Apur nazazu,https://www.badok.eus/euskal-musika/aizkorak-zorroztu/apur-nazazu,Rocka,False,2016,53
97,Ez ahaztu inoiz nor zaren,https://www.badok.eus/euskal-musika/aizkorak-zorroztu/ez-ahaztu-inoiz-nor-zaren,Rocka,False,2015,53
98,Erlojuari begira,https://www.badok.eus/euskal-musika/akabu/erlojuari-begira,Punk-rocka,False,2018,54
99,Akabu,https://www.badok.eus/euskal-musika/akabu/akabu,Punk-rocka,False,2017,54
100,Nork! (SG-DG),https://www.badok.eus/euskal-musika/akaleia/nork-sg-dg,Rocka,True,2023,55
101,Gizakia eta pertsona (SG-DG),https://www.badok.eus/euskal-musika/akaleia/gizakia-eta-pertsona-sg-dg,Rocka,True,2022,55
102,Phoenix,https://www.badok.eus/euskal-musika/akatu/phoenix,Metala,False,2011,56
103,Kateak,https://www.badok.eus/euskal-musika/akatu/kateak-1,Metala,False,2008,56
104,Utopiaren indarra,https://www.badok.eus/euskal-musika/akatu/utopiaren-indarra,Metala,False,2006,56
105,Etzazuaka,https://www.badok.eus/euskal-musika/akauzazte/etzazuaka,Esperimentala,False,2015,57
106,Txinaurriak. Mikel Laboari ikasitako kantuak (Askoren artean),https://www.badok.eus/euskal-musika/akauzazte/txinaurriak-mikel-laboari-ikasitako-kantuak-askoren-artean-10,Esperimentala,True,2010,57
107,Akauzazte dan danok,https://www.badok.eus/euskal-musika/akauzazte/akauzazte-dan-danok,"Rocka, Esperimentala",False,2009,57
108,2004-5-1 Bera,https://www.badok.eus/euskal-musika/akauzazte/04-5-1-bera,"Rocka, Esperimentala",False,2005,57
109,Azalberritan,https://www.badok.eus/euskal-musika/akauzazte/azalberritan,"Rocka, Esperimentala",False,2004,57
110,Bonberenea oztopo guztien gainetik (Askoren artean),https://www.badok.eus/euskal-musika/akauzazte/Bonberenea-oztopo-guztien-gainetik-11,"Rocka, Esperimentala",True,2002,57
111,X,https://www.badok.eus/euskal-musika/akauzazte/x,"Rocka, Esperimentala",False,2002,57
112,Ur gardenak,https://www.badok.eus/euskal-musika/akauzazte/ur-gardenak,"Rocka, Esperimentala",False,1998,57
113,1972-2005 zuzenean,https://www.badok.eus/euskal-musika/akelarre/1972-2005-zuzenean,"Plaza, Rocka",False,2005,58
114,Gorria,https://www.badok.eus/euskal-musika/akelarre/gorria,,False,2001,58
